fyear,car_prd0,car_prd1
1972,383,895
1973,481,1361
1974,1011,1281
1975,1077,1298
1976,745,1661
1977,791,1587
1978,681,1643
1979,785,1486
1980,1133,1098
1981,1070,1122
1982,1255,899
1983,1256,1470
1984,1302,1886
1985,1853,1462
1986,1775,1504
1987,1570,1885
1988,1391,2180
1989,1744,1766
1990,1847,1708
1991,1939,1726
1992,1795,2103
1993,1889,2365
1994,1835,2779
1995,2281,2922
1996,2491,3013
1997,2634,3263
1998,3017,2876
1999,2625,3252
2000,2939,3192
2001,3397,2679
2002,2502,3219
2003,1902,3582
2004,1959,3332
2005,2164,3074
2006,2193,2953
2007,2396,2589
2008,3012,1908
2009,2301,2407
2010,1481,3020
2011,1824,2605
2012,2016,2350
2013,1856,2459
2014,1944,2458
2015,2175,2305
2016,1945,2479
2017,1831,2505
2018,1770,2571
2019,2107,2255
