fyear,stat1,stat2,stat3
1972,1,1,0.976
1973,1,1,0.999
1974,1,1,0.302
1975,1,1,$<$0.001
1976,1,1,1
1977,1,0.999,1
1978,1,0.996,0.160
1979,1,0.316,0.996
1980,1,1,0.972
1981,1,1,1
1982,1,1,0.082
1983,1,0.993,0.960
1984,1,1,0.971
1985,1,0.999,1
1986,1,1,0.989
1987,1,1,1
1988,1,1,1
1989,1,1,1
1990,1,1,0.971
1991,1,1,0.192
1992,1,1,0.999
1993,1,1,0.902
1994,1,1,0.968
1995,1,1,0.96
1996,1,0.996,1
1997,1,1,0.999
1998,1,1,0.034
1999,1,1,1
2000,1,1,1
2001,1,1,1
2002,1,1,0.970
2003,1,0.996,0.200
2004,1,1,1
2005,1,1,1
2006,1,1,1
2007,1,1,1
2008,1,1,$<$0.001
2009,1,1,0.657
2010,1,1,1
2011,1,1,1
2012,1,1,0.998
2013,1,1,1
2014,1,1,0.988
2015,1,1,0.003
2016,1,1,0.957
2017,1,0.999,0.708
2018,1,1,0.865
2019,1,1,0.646
